name,locationName,websiteUrl,enabledFeatures
Caja Caliente,Coral Gables,http://www.caja-caliente.com,REWARDS_PROGRAM
Caja Caliente,Coral Gables,http://www.caja-caliente.com,TOAST_GIFT_CARDS
Caja Caliente,Coral Gables,http://www.caja-caliente.com,ONLINE_ORDERING
Stripers Bar and Grille,Manteo,http://www.stripersbarandgrille.com/home,TOAST_GIFT_CARDS
Prime Time Pub and Grill,,https://www.primetimenewburgh.com,REWARDS_PROGRAM
Prime Time Pub and Grill,,https://www.primetimenewburgh.com,TOAST_GIFT_CARDS
Bluffton Brauhaus,,https://www.blufftonbrauhaus.com,REWARDS_PROGRAM
Bluffton Brauhaus,,https://www.blufftonbrauhaus.com,TOAST_GIFT_CARDS
Balade Your Way,41st St,http://www.baladeyourway.com,ONLINE_ORDERING
Balade Your Way,41st St,http://www.baladeyourway.com,REWARDS_PROGRAM
State of Mind Public House and Pizzeria,Downtown Los Altos,http://www.stateofmindpublichouse.com,REWARDS_PROGRAM
State of Mind Public House and Pizzeria,Downtown Los Altos,http://www.stateofmindpublichouse.com,ONLINE_ORDERING
State of Mind Public House and Pizzeria,Downtown Los Altos,http://www.stateofmindpublichouse.com,TOAST_GIFT_CARDS
Droidcon Toast Café,Droidcon 2019,http://pos.toasttab.com,ONLINE_ORDERING
Tacos y Alitas,,https://www.tacosyalitas.com,REWARDS_PROGRAM
Tacos y Alitas,,https://www.tacosyalitas.com,ONLINE_ORDERING
The Dancing Bean,Madras,http://www.dancingbeanscoffee.com,REWARDS_PROGRAM
The Dancing Bean,Madras,http://www.dancingbeanscoffee.com,ONLINE_ORDERING
The Dancing Bean,Madras,http://www.dancingbeanscoffee.com,TOAST_GIFT_CARDS
Grotta di Fuoco,,http://www.grottalbny.com,ONLINE_ORDERING
Grotta di Fuoco,,http://www.grottalbny.com,TOAST_GIFT_CARDS
Pizza Sam's,,http://www.pizzasams.com,REWARDS_PROGRAM
Pizza Sam's,,http://www.pizzasams.com,TOAST_GIFT_CARDS
Pizza Sam's,,http://www.pizzasams.com,ONLINE_ORDERING
Society BBQ - The Citadel,,http://www.societybbqmiami.com,TOAST_GIFT_CARDS
The Pickle House,,http://www.thepickle.house,ONLINE_ORDERING
The Pickle House,,http://www.thepickle.house,TOAST_GIFT_CARDS
Lombardi Pizza Co.,,https://www.lombardipizzaco.com,REWARDS_PROGRAM
Lombardi Pizza Co.,,https://www.lombardipizzaco.com,TOAST_GIFT_CARDS
Pizza Sociale,,http://www.pizzasociale.com,REWARDS_PROGRAM
Pizza Sociale,,http://www.pizzasociale.com,TOAST_GIFT_CARDS
Tailgate Tavern & Grill,,http://www.tailgatetavern.com,REWARDS_PROGRAM
Tailgate Tavern & Grill,,http://www.tailgatetavern.com,TOAST_GIFT_CARDS
Grinder House Coffee Shop,,http://www.grinderhousecoffeeshop.com,TOAST_GIFT_CARDS
Grinder House Coffee Shop,,http://www.grinderhousecoffeeshop.com,ONLINE_ORDERING
Health House Foods,,https://www.healthhousefoods.com,REWARDS_PROGRAM
Health House Foods,,https://www.healthhousefoods.com,TOAST_GIFT_CARDS
Health House Foods,,https://www.healthhousefoods.com,ONLINE_ORDERING
Via Veneto Manasquan,Manasquan,http://ViaVenetoRistorante.com,TOAST_GIFT_CARDS
Via Veneto Manasquan,Manasquan,http://ViaVenetoRistorante.com,REWARDS_PROGRAM
Via Veneto Manasquan,Manasquan,http://ViaVenetoRistorante.com,ONLINE_ORDERING
San Pedro,Brooklyn,https://sanpedroinn.com/,ONLINE_ORDERING
Moutons Southern Bistro,Leander,http://www.moutonsbistro.com/leander/,TOAST_GIFT_CARDS
Moutons Southern Bistro,Leander,http://www.moutonsbistro.com/leander/,REWARDS_PROGRAM
Moutons Southern Bistro,Leander,http://www.moutonsbistro.com/leander/,ONLINE_ORDERING
Sushi Ramen Go,,http://www.sushiramengo.com,TOAST_GIFT_CARDS
Sushi Ramen Go,,http://www.sushiramengo.com,REWARDS_PROGRAM
Sushi Ramen Go,,http://www.sushiramengo.com,ONLINE_ORDERING
Micah S,Omaha,http://www.google.com,TOAST_GIFT_CARDS
Micah S,Omaha,http://www.google.com,REWARDS_PROGRAM
Micah S,Omaha,http://www.google.com,ONLINE_ORDERING
Mouton's Bistro & Bar,Cedar Park,http://www.moutonsbistro.com/cedar-park/,REWARDS_PROGRAM
Mouton's Bistro & Bar,Cedar Park,http://www.moutonsbistro.com/cedar-park/,TOAST_GIFT_CARDS
Mouton's Bistro & Bar,Cedar Park,http://www.moutonsbistro.com/cedar-park/,ONLINE_ORDERING
Aurelio's,Lab,https://www.aureliospizza.com/location/homewood/,ONLINE_ORDERING
Scrambled,2540 Congress Street,http://www.scrambledeatery.com,REWARDS_PROGRAM
Scrambled,2540 Congress Street,http://www.scrambledeatery.com,TOAST_GIFT_CARDS
Chubby's Diner at KBXtreme,"Kailua-Kona, HI",https://kbxtreme.com/,TOAST_GIFT_CARDS
All About The Burgers,,https://allabouttheburgers.com/,TOAST_GIFT_CARDS
All About The Burgers,,https://allabouttheburgers.com/,REWARDS_PROGRAM
All About The Burgers,,https://allabouttheburgers.com/,ONLINE_ORDERING
Friesian Gastro Pub,Grand Rapids,https://www.friesiangr.com/,TOAST_GIFT_CARDS
Friesian Gastro Pub,Grand Rapids,https://www.friesiangr.com/,ONLINE_ORDERING
The Red Piano,Santa Barbara,http://www.redpiano.com,TOAST_GIFT_CARDS
The Red Piano,Santa Barbara,http://www.redpiano.com,REWARDS_PROGRAM
Alice's Restaurant,,http://www.alicespensacola.com,TOAST_GIFT_CARDS
Alice's Restaurant,,http://www.alicespensacola.com,REWARDS_PROGRAM
Fatty's Taphouse,Fredericksburg,http://www.fattystaphouse.com,REWARDS_PROGRAM
Fatty's Taphouse,Fredericksburg,http://www.fattystaphouse.com,TOAST_GIFT_CARDS
Eagle Park Brewing Company,,http://www.eagleparkbrewing.com/,TOAST_GIFT_CARDS
Sidewalk Chef Kitchen,,http://www.sidewalkchef.com,REWARDS_PROGRAM
Sidewalk Chef Kitchen,,http://www.sidewalkchef.com,ONLINE_ORDERING
Two Cafe and Boutique,,http://www.twocafeandboutique.com/,TOAST_GIFT_CARDS
Dos Croquetas,,http://www.doscroquetas.com,ONLINE_ORDERING
